REF_AREA,Geographic area,Regional group,Indicator,Sex,Wealth Quintile,Series Name,Series Year,Reference Date,Observation Value,Lower Bound,Upper Bound,Standard Error,Country notes,Observation Status,Unit of measure,Series Type,Series Category,Series Method,Age Group of Women,Time Since First Birth,Definition,Interval
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2016-2017 (Direct),2016-2017,1993.5,36.41348,NA,NA,8.279168,NA,Excluded from IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2016-2017 (Direct),2016-2017,1998.5,41.25996,NA,NA,5.769786,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2016-2017 (Direct),2016-2017,2003.5,32.83915,NA,NA,3.870619,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2016-2017 (Direct),2016-2017,2008.5,28.46557,NA,NA,4.417056,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2016-2017 (Direct),2016-2017,2013.5,23.70623,NA,NA,2.979608,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2010-2011 (Direct),2010-2011,1987.5,49.06,NA,NA,16.61,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2010-2011 (Direct),2010-2011,1992.5,46.66,NA,NA,16.31,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2010-2011 (Direct),2010-2011,1997.5,47.91,NA,NA,10.25,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2010-2011 (Direct),2010-2011,2002.5,46.55,NA,NA,7.34,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,Demographic and Health Survey 2010-2011 (Direct),2010-2011,2007.5,30.76,NA,NA,7.23,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
